"id";"parent_id";"type";"title";"text";"order";"locked";"active";"delete_status";"completed";"content_complexity";"by_moderator";"date_created";"date_modified";"read_count";"full_branch";"unapproved_activities"
"5160";"";"PRO";"Gegenwärtige Situation der Ausländerkriminalität";"Die Kriminalität von Ausländern, wird für viele als problematisch betrachtet. In diesem Kapitel, soll darüber diskutiert werden, wie problematisch die Situation wirklich ist. Was sind die Ursachen der Probleme, die wir gemäss den Initianten mit Ausländern haben?";"1";False;1;0;0;310;0;"2015-02-21 19:45:01";"2015-02-22 18:35:19";5;"5160";0
"5161";"5160";"COMMENT";"Hat die Schweiz ein Problem mit Auslaenderkriminalität?";"Erachten Sie die Kriminalität von Ausländern als problematisch. Reichen die bisherigen Massnahmen nicht aus, um die Kriminalität angemessen zu bekämpfen?";"";False;1;0;0;208;0;"2015-02-21 19:45:01";"2015-02-23 08:43:30";5;"5160-5161";0
"5162";"5161";"COMMENT";"Kriminalität ist kein spezifisches Problem von Ausländern.";"Unproblematisch: Schweizer können ebenso kriminell sein. Kriminalität ist ein generelles Problem unabhängig von Geschlecht und Herkunft.";"";False;1;0;0;194;0;"2015-02-21 19:45:01";"2015-02-22 18:31:50";5;"5160-5161-5162";0
"5163";"5162";"COMMENT";"Unterschiedliche Behandlung";"Auslaendische Jugendliche werden oft haerter angefasst als Schweizer. Da laeuft es mit Gespraechen mit den Eltern und Verstaendnis.(user60)";"";False;1;0;0;166;0;"2015-02-21 19:45:01";"";3;"5160-5161-5162-5163";0
"5164";"5163";"COMMENT";"Medien Berichterstattung";"Auch die Medien schreiben nur allzu gern aeber kriminelle auslaendische Jugendliche, waehrend Straftaten von Schweizern oft als Bagatelle abgetan oder weniger erwaehnt werden. (user62)";"";False;1;0;0;208;0;"2015-02-21 19:45:01";"";0;"5160-5161-5162-5163-5164";0
"5165";"5162";"COMMENT";"psychische Probleme";"Wir maessen uns Gedanken machen, weshalb Jugendliche immer mehr psychische Probleme haben. Was kann dagegen getan werden? (user14)";"";False;1;0;0;149;0;"2015-02-21 19:45:01";"";3;"5160-5161-5162-5165";0
"5166";"5165";"COMMENT";"zu viel psychologisch Beratung";"Generell gibt es zu viel psychologisch Beratung. Viele Eltern vertrauen ihren eigenen Verstand, ihren eigenen Gefaehlen nicht mehr. (user60)";"";False;1;0;0;170;0;"2015-02-21 19:45:01";"";0;"5160-5161-5162-5165-5166";0
"5167";"5162";"COMMENT";"Es fehlt generell an Respekt";"user42: User26: Es fehlt ganz generell an Respekt faer den andern. Da muss der Hebel angesetzt werden. (user42)";"";False;1;0;0;139;0;"2015-02-21 19:45:01";"";2;"5160-5161-5162-5167";0
"5168";"5162";"COMMENT";"Ansteckung durch Kriminelle Auslaender";"Ja, ich finde dass die Kriminalitaet hoch ist und unsere Schweizer Jugend diese Aggression aebernimmt. (user14)";"";False;1;0;0;149;0;"2015-02-21 19:45:01";"";1;"5160-5161-5162-5168";0
"5169";"5168";"QUESTION";"Wie funktioniert das?";"user 75: die Frage stellt sich, was wir mit kriminellen Schweizern machen. Auch darunter gibt es solche, die Wiederholungstaeter sind. Meine Frage ist, wie machen Auslaender Schweizer zu Kriminellen? (user61)";"";False;1;0;0;229;0;"2015-02-21 19:45:01";"2015-02-23 13:07:34";1;"5160-5161-5162-5168-5169";0
"5170";"5169";"ANSWER";"Verteidigung";"user 61: Ich sehe wie die Auslaender die Schweizer einbeziehen. Vor allem im Ausgang.. ich habe in den letzten Wochen genug miterlebt. Sobald man einem Auslaender ankommt, zieht er das Messer und der Schweizer wehrt sich nataerlich und schon ist er dabei. Ob er unschuldig ist oder nicht. (user75)";"";False;1;0;0;309;0;"2015-02-21 19:45:01";"2015-02-23 13:07:42";1;"5160-5161-5162-5168-5169-5170";0
"5171";"5168";"COMMENT";"Selbstverschulden";"user 75: ich lebe nun als Schweizerin schon 47 Jahre in diesem Land und hatte noch nie ein ernsthaftes Problem mit Auslaedern. Cest le ton que fait la musique. (user61)";"";False;1;0;0;185;0;"2015-02-21 19:45:01";"";1;"5160-5161-5162-5168-5171";0
"5172";"5168";"COMMENT";"Eher Medien, und Games";"Schweizer Jugendliche aebernehemen aggressives Verhalten aus den Medien!!! Games etc. (user65)";"";False;1;0;0;116;0;"2015-02-21 19:45:01";"";1;"5160-5161-5162-5168-5172";0
"5173";"5172";"COMMENT";"Games sind nicht schaedlich";"Ich maechte anfaegen, dass Games etc. nicht faer Gewalt verantwortlich gemacht werden kaennen. Psychisch stabile Jugendliche haben mit derlei Games keine Probleme. Wenn ein Jugendlicher psychisch jedoch schon angeschlagen ist, kaennen solche Games durchaus einen Einfluss haben. Doch auch hier ist nicht das Game das Problem, sondern der psychische Zustand des Jugendlichen, um den man sich kaemmern maesste. (user62)";"";False;1;0;0;444;0;"2015-02-21 19:45:01";"";0;"5160-5161-5162-5168-5172-5173";0
"5174";"5162";"COMMENT";"brauchen keine kirminellen Auslaender";"Die Kriminalitaet ist sicher nicht nur ein Auslaengerproblem, aber sollen wir das der Auslaender auch noch tragen? Haben wir nicht genug damit zu tun, das unsrige zu laesen? (user14";"";False;1;0;0;218;0;"2015-02-21 19:45:01";"";2;"5160-5161-5162-5174";0
"5175";"5174";"COMMENT";"Inländer können nun mal nicht ausgeschafft werden..";"inlaender kaennen nicht ausgeschafft werden. auslaender sollten ihre untaten in ihrem land vollziehen.(user45)";"";False;1;0;0;161;0;"2015-02-21 19:45:02";"2015-02-24 03:56:29";0;"5160-5161-5162-5174-5175";0
"5176";"5175";"COMMENT";"Unrealistisch";"ich glaube nicht das dies realistisch ist, denn die anderen laender haben schliesslich auch kein interesse irgendwelche kriminellen bei sich zu haben. wenn doch dann nur zu einem hohen preis.(user18)";"";False;1;0;0;212;0;"2015-02-21 19:45:02";"";0;"5160-5161-5162-5174-5175-5176";0
"5177";"5176";"COMMENT";"Kostet Geld";"so mein ich das nicht. ich meine eher das ein land das einen bei uns kriminel gewordenen aufnimmt und ihn dann die strafe absitzen laesst die er in der schweiz erhalten hat, von der schweiz viel geld verlangt, ansonsten gibt es faer sie ja keinen grund dies zu tun(user18)";"";False;1;0;0;283;0;"2015-02-21 19:45:02";"";0;"5160-5161-5162-5174-5175-5176-5177";0
"5178";"5162";"COMMENT";"TEST";"Die Kriminalitaet von Auslaendern ist gleich problematisch wie diejenige von Schweizern. Sie faehrt aber, wie die Ausschaffungsinitiative zeigt, zu fremdenfeindlichen Haltungen. (user67)";"";False;0;2;0;190;0;"2015-02-21 19:45:01";"";0;"5160-5161-5162-5178";0
"5179";"5162";"COMMENT";"Auslaender sind nicht krimineller";"@user33: Wer sagt, dass die Auslaender die Kriminalitaetsrate steigen laesst? (user22)";"";False;1;0;0;119;0;"2015-02-21 19:45:01";"2015-02-23 08:55:34";3;"5160-5161-5162-5179";0
"5180";"5179";"COMMENT";"Zustimmung";"User39: Bin ganz Ihrer Meinung. User34: Diese Dinge werden von In- und Auslaendern verbrochen. Die Tat ist zu verurteilen, nicht die Nationalitaet! (user42)";"";False;1;0;0;166;0;"2015-02-21 19:45:01";"2015-02-22 17:54:47";0;"5160-5161-5162-5179-5180";0
"5181";"5180";"COMMENT";"Auschaffung von Schweizern geht nicht";"Unsere Schweizer Jugendlichen kaennen wir ja schlecht ausschaffen! (user14)";"";False;1;0;0;112;0;"2015-02-21 19:45:01";"";0;"5160-5161-5162-5179-5180-5181";0
"5182";"5179";"COMMENT";"Auslaender sind tendentiell braver";"@user33: Aber der Durchschnitt der Auslaender ist eher braver als der Durchschnitt der Schweizer, glaube ich! Ich denke das Problem sind die wirklich schlimmen Kriminellen... Nicht die Auslaender an sich... (user22)";"";False;1;0;0;249;0;"2015-02-21 19:45:01";"2015-02-23 08:57:03";0;"5160-5161-5162-5179-5182";0
"5183";"5182";"COMMENT";"Dem widerspricht die Statistik";"die Statistik widerspricht Ihrer Aussage, dass die Auslaender im Durchschnitt braver sind als die Schweizer. Aber ich gebe Ihnen nataerlich recht, dass die schlimmen Kriminellen im Vordergrund zu stehen haben. (user22)";"";False;1;0;0;248;0;"2015-02-21 19:45:01";"";0;"5160-5161-5162-5179-5182-5183";0
"5184";"5179";"COMMENT";"Ist doch sicher in der Schweiz";"user39: user34: ich kann mich sogar in Zaerich frei bewegen zu jeder Tages- und Nachtzeit. (user39)";"";False;1;0;0;129;0;"2015-02-21 19:45:01";"";1;"5160-5161-5162-5179-5184";0
